Vùng,Tỉnh,BC,Mã đơn,Tệp khách,Ngày nhập BC Giao,Số ngày đã nhập BC,Giờ câp nhật,Số lần giao,Nhóm BL,COD
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTAV7TF,SME,2026-05-29 14:27:41.317000+00:00,12.7,2026-06-11 07:45:36.692000+00:00,2,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTADX7D,Shopee,2026-05-29 14:27:41.317000+00:00,12.7,2026-06-11 07:45:36.692000+00:00,2,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTAGLCK,SME,2026-05-29 14:27:50.105000+00:00,12.7,2026-06-11 07:45:36.692000+00:00,1,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTATPHQ,SME,2026-05-29 14:28:02.778000+00:00,12.7,2026-06-11 07:45:36.692000+00:00,2,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTXXR9M,SME,2026-05-29 14:28:37.303000+00:00,12.7,2026-06-11 07:45:36.692000+00:00,1,(h) 12 - 13 ngày,non - không phí
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTHD9K6,SME,2026-05-29 14:28:37.303000+00:00,12.7,2026-06-11 07:45:36.692000+00:00,2,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng,GYTHGDKU,SME,2026-05-29 15:16:46.106000+00:00,12.7,2026-06-11 07:45:36.692000+00:00,0,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYTXTWCN,SME,2026-05-29 15:49:15.589000+00:00,12.7,2026-06-11 07:45:36.692000+00:00,6,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYTTRHLH,SME,2026-05-29 15:50:25.233000+00:00,12.7,2026-06-11 07:45:36.692000+00:00,3,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục Langbiang-Lạc Dương-Lâm Đồng,GYTXW48L,SME,2026-05-29 17:45:43.181000+00:00,12.6,2026-06-11 07:45:36.692000+00:00,5,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,GYTXRLHH,Shopee,2026-05-29 18:04:54.170000+00:00,12.6,2026-06-11 07:45:36.692000+00:00,2,(h) 12 - 13 ngày,non - không phí
NTB,Lâm Đồng,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,GYTTWLA3,SME,2026-05-29 18:11:10.905000+00:00,12.6,2026-06-11 07:45:36.692000+00:00,4,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,GYTXNCYL,SME,2026-05-29 18:14:11.596000+00:00,12.6,2026-06-11 07:45:36.692000+00:00,5,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,GYTXRGME,SME,2026-05-29 18:18:07.847000+00:00,12.6,2026-06-11 07:45:36.692000+00:00,3,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu cục Đinh Văn-Lâm Hà-Lâm Đồng,GYTXV4R9,SME,2026-05-30 06:05:07.475000+00:00,12.1,2026-06-11 07:45:36.692000+00:00,0,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục 231 Thôn 1-Xã Hòa Ninh-Lâm Đồng,GYTXY7MF,SME,2026-05-30 06:19:56.405000+00:00,12.1,2026-06-11 07:45:36.692000+00:00,2,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục 231 Thôn 1-Xã Hòa Ninh-Lâm Đồng,GYTG8FUL,Shopee-Bulky,2026-05-30 06:25:13.131000+00:00,12.1,2026-06-11 07:45:36.692000+00:00,3,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYTA3FDR,SME,2026-05-30 06:30:43.450000+00:00,12.1,2026-06-11 07:45:36.692000+00:00,1,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,GYT8DLRW,SME,2026-05-30 06:33:37.372000+00:00,12.0,2026-06-11 07:45:36.692000+00:00,0,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYT87CFX,SME,2026-05-30 07:00:15.819000+00:00,12.0,2026-06-11 07:45:36.692000+00:00,3,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYTAL49K,SME,2026-05-30 07:00:20.649000+00:00,12.0,2026-06-11 07:45:36.692000+00:00,4,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục 337 Hùng Vương-Lộc Thắng-Bảo Lâm-Lâm Đồng ,GYTAC7EE,SME,2026-05-30 07:07:24.142000+00:00,12.0,2026-06-11 07:45:36.692000+00:00,0,(h) 12 - 13 ngày,cod
NTB,Lâm Đồng,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng,GYT83DLV,Shopee,2026-05-30 08:40:10.103000+00:00,12.0,2026-06-11 07:45:36.692000+00:00,0,(g) 11 - 12 ngày,cod
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYT84DKD,SME,2026-05-30 12:07:11.024000+00:00,11.8,2026-06-11 07:45:36.692000+00:00,2,(g) 11 - 12 ngày,cod
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYTYRFLM,SME,2026-05-30 12:07:11.024000+00:00,11.8,2026-06-11 07:45:36.692000+00:00,3,(g) 11 - 12 ngày,cod
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYTH4PGU,Shopee,2026-05-30 12:08:47.165000+00:00,11.8,2026-06-11 07:45:36.692000+00:00,2,(g) 11 - 12 ngày,non - không phí
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYT8FU3T,SME,2026-05-30 12:10:18.842000+00:00,11.8,2026-06-11 07:45:36.692000+00:00,1,(g) 11 - 12 ngày,cod
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYTA7CFC,SME,2026-05-30 12:11:54.635000+00:00,11.8,2026-06-11 07:45:36.692000+00:00,1,(g) 11 - 12 ngày,cod
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYTRF8YW,SME,2026-05-30 12:12:15.797000+00:00,11.8,2026-06-11 07:45:36.692000+00:00,1,(g) 11 - 12 ngày,cod
NTB,Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,GYT87YY9,SME,2026-05-30 12:13:34.080000+00:00,11.8,2026-06-11 07:45:36.692000+00:00,3,(g) 11 - 12 ngày,cod
