Mã bưu cục,Mã đơn hàng,Loại đơn,Khách hàng,Trạng thái,Thời gian tồn đọng,warehouse_name
21298000,GYH4NM4R,Luân chuyển giao,OTHER,Đã đóng kiện,0_6,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
20785000,VNGH80242216902,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
21298000,GYTY4X9Y,Luân chuyển trả,OTHER,Đã đóng kiện,6_12,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
20785000,VNGH80111616903,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20785000,VNGH80211546902,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
21065000,VNGH80984296704,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,Bưu cục 47 Trần Hưng Đạo-Hàm Thuận Nam-Bình Thuận
20785000,VNGH80422816902,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20785000,VNGH80713416902,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20785000,VNGH80908496903,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20785000,VNGH80600346902,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20785000,VNGH80903616902,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20785000,VNGH80106296903,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
20316000,VNGH80462456904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận
20316000,VNGH80480726904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận
20316000,VNGH80462256904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận
20316000,VNGH80462056904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận
20316000,VNGH80456456904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận
2399,GYHKKTNK,Luân chuyển giao,OTHER,Không cần đóng kiện,12_24,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa
21298000,GYHUGCU8,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21298000,NVN782844373,Luân chuyển trả,OTHER,Đã đóng kiện,6_12,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21298000,GYH997TW,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21298000,GYH9B3GL,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
